,type,role,resource,avg,std,min,max,unit
0,redis_ycsb,ycsb,cpu,791.375,128.18120164261785,610.0,1026.0,m
1,redis_ycsb,ycsb,memory,481.22767857142856,91.51652628122936,223.2734375,530.171875,Mi
2,redis_ycsb,redis,cpu,521.6181818181818,64.79382998434653,386.0,646.0,m
3,redis_ycsb,redis,memory,205.05994318181817,17.13800350812713,169.73046875,227.515625,Mi
4,sysbench,sysbench,cpu,144.1153846153846,108.21341547185574,22.0,370.0,m
5,sysbench,sysbench,memory,126.13138521634616,1.2459116248247757,123.046875,130.09375,Mi
6,sysbench,mysql,cpu,124.29629629629629,31.760679160571183,54.0,169.0,m
7,sysbench,mysql,memory,515.357277199074,0.13582552928191802,514.53515625,515.45703125,Mi
8,wrk,wrk,cpu,984.6585365853658,37.127893662378405,809.0,1014.0,m
9,wrk,wrk,memory,165.99942835365854,2.2011308990223752,160.51171875,170.3125,Mi
10,wrk,apache,cpu,9430.243902439024,893.9433365848141,7201.0,10518.0,m
11,wrk,apache,memory,156.73494664634146,19.50798940212547,124.65625,192.16015625,Mi
12,oldisim,oldisimdriver,cpu,60.416666666666664,56.25194284152618,16.0,234.0,m
13,oldisim,oldisimdriver,memory,125.37220052083333,0.7994176949066997,122.74609375,128.0546875,Mi
14,oldisim,oldisimlb,cpu,1.0,0.0,1.0,1.0,m
15,oldisim,oldisimlb,memory,161.4429552801724,4.443824263844007,153.75390625,168.85546875,Mi
16,oldisim,oldisimroot,cpu,20.912280701754387,4.58756355251575,9.0,26.0,m
17,oldisim,oldisimroot,memory,171.67824835526315,8.910016514644603,156.9375,186.94921875,Mi
18,oldisim,oldisimleaf,cpu,424.1186440677966,92.31226704184883,181.0,491.0,m
19,oldisim,oldisimleaf,memory,232.0515095338983,0.6137342842753561,231.01953125,233.13671875,Mi
20,hadoop,hadoopmaster,cpu,851.2666666666667,377.82430968475813,54.0,1600.0,m
21,hadoop,hadoopmaster,memory,1480.291970486111,98.19598228811509,1193.16796875,1654.14453125,Mi
22,hadoop,hadoopslave,cpu,435.97701149425285,344.46118953125995,7.0,1337.0,m
23,hadoop,hadoopslave,memory,1031.3331597222223,195.17959032912825,787.6796875,1448.296875,Mi
24,linpack,linpack,cpu,1925.5454545454545,75.0951193860329,1786.0,2037.0,m
25,linpack,linpack,memory,812.4811789772727,326.7345642670385,210.62109375,1003.390625,Mi
